5  2  2  2  2  
2  2  2  2  2  
5  5  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  5  5  5  2  
5  5  2  2  2  
2  2  2  5  5  
5  5  2  2  2  
2  2  2  2  2  
2  2  5  5  2  
2  2  5  2  2  
2  5  2  2  5  
5  2  5  5  2  
5  5  5  2  2  
2  2  5  5  2  
2  5  2  2  5  
2  5  2  2  2  
2  5  2  5  2  
2  2  5  5  5  
5  2  5  5  5  
2  2  5  5  5  
5  2  2  2  2  
5  5  5  5  2  
2  2  2  5  2  
2  5  5  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  5  5  
2  2  5  5  2  
2  2  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  5  2  2  2  
5  2  2  2  2  
2  2  2  5  2  
5  2  5  5  2  
2  5  5  5  5  
5  2  5  5  2  
2  2  2  2  2  
2  5  2  2  2  
5  2  2  2  2  
2  2  5  2  2  
2  5  2  2  5  
2  2  2  2  2  
5  2  2  5  5  
2  2  5  2  2  
2  2  2  2  2  
5  5  5  2  2  
5  2  2  5  5  
5  5  5  5  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  5  2  2  
5  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  5  
5  2  2  5  5  
5  2  2  5  5  
2  5  2  2  2  
5  5  2  2  5  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  2  2  
5  5  2  2  2  
2  2  5  2  2  
2  2  5  5  5  
2  5  2  2  2  
2  5  5  2  2  
2  2  2  5  2  
2  2  2  5  2  
2  2  2  2  5  
2  5  2  2  2  
2  2  2  2  2  
2  2  5  5  5  
2  5  5  5  2  
2  2  2  2  2  
2  5  2  2  2  
2  5  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
2  5  5  2  2  
2  5  2  5  2  
2  2  5  5  2  
2  2  2  2  2  
5  5  2  2  2  
2  2  2  2  2  
5  5  5  2  2  
2  2  5  5  5  
2  5  2  5  5  
2  2  2  2  2  
5  5  2  2  2  
2  2  5  2  2  
2  2  2  2  5  
2  2  2  5  2  
2  5  2  2  2  
5  5  2  2  5  
2  2  2  2  2  
2  2  5  5  2  
5  5  2  2  2  
5  2  2  2  2  
2  2  2  2  5  
2  2  5  2  5  
2  2  2  2  2  
2  5  2  2  2  
2  5  2  2  2  
2  2  2  2  5  
2  2  2  2  2  
2  5  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  5  2  2  
2  2  2  2  5  
2  2  2  2  2  
5  5  2  2  5  
5  5  5  2  2  
2  2  5  5  2  
2  2  2  2  2  
2  2  2  2  5  
5  2  2  2  2  
5  5  5  5  2  
2  5  5  5  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  2  2  
2  2  2  5  2  
2  5  5  5  5  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
2  5  5  2  2  
2  2  2  2  5  
2  2  2  5  2  
2  2  5  2  5  
2  2  5  5  2  
5  2  5  2  2  
2  2  2  5  2  
5  2  2  2  2  
2  5  5  2  2  
2  2  2  2  2  
5  5  5  2  2  
2  2  2  2  2  
2  2  2  2  5  
5  2  2  2  2  
2  5  2  2  2  
2  2  5  2  2  
2  2  5  5  5  
5  2  2  2  5  
2  5  2  2  5  
2  2  2  2  2  
2  2  5  5  5  
5  5  2  5  5  
2  2  2  2  5  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
5  5  2  5  2  
2  2  2  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  5  5  5  2  
2  2  2  2  2  
2  2  2  5  2  
2  5  2  2  2  
5  2  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  5  2  
2  2  2  2  5  
5  2  2  2  2  
5  2  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  5  5  5  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  5  2  2  5  
2  5  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  2  2  2  2  
5  5  2  2  2  
2  2  2  5  2  
2  5  5  2  2  
2  2  2  2  5  
5  2  5  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  5  5  5  
2  2  2  2  2  
2  2  2  5  5  
2  2  2  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
5  5  2  2  2  
2  5  2  2  5  
5  5  2  5  2  
2  2  2  5  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  5  2  
2  2  2  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  2  2  2  
2  5  2  2  5  
2  2  2  2  2  
5  2  2  5  2  
2  2  5  2  5  
2  5  5  2  5  
5  5  2  2  2  
2  2  5  2  5  
2  2  2  2  2  
2  5  5  2  5  
5  2  5  5  2  
2  2  2  2  2  
5  2  5  2  5  
5  2  2  2  5  
5  2  2  2  2  
5  2  5  2  2  
2  2  2  5  2  
2  2  2  2  5  
2  2  2  5  5  
5  5  2  2  2  
2  2  2  2  5  
2  2  2  5  5  
5  2  2  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
5  5  5  2  2  
2  2  2  5  2  
5  2  2  2  2  
5  5  5  2  2  
5  2  2  2  2  
2  5  2  2  5  
2  2  2  5  5  
2  2  2  2  5  
5  5  2  5  2  
2  2  2  2  2  
2  2  5  2  2  
5  5  5  5  2  
5  2  2  5  5  
2  2  2  2  2  
5  2  2  2  2  
5  5  2  2  2  
2  5  5  5  2  
2  5  5  5  2  
2  2  2  2  5  
2  2  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  5  2  2  
2  2  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
5  5  2  2  2  
5  2  2  2  2  
5  2  2  2  2  
2  2  5  5  5  
2  2  2  2  2  
2  5  2  2  2  
2  2  2  5  2  
5  5  2  2  2  
5  2  2  2  2  
2  5  2  2  2  
2  2  5  5  5  
2  2  2  5  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  5  5  
5  2  2  2  2  
2  5  5  2  2  
2  2  2  5  2  
2  2  5  2  5  
5  5  2  2  5  
5  5  5  5  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  2  5  5  
2  5  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  2  5  
2  2  2  5  2  
2  2  2  2  5  
5  2  5  2  2  
2  5  2  5  5  
2  2  2  2  2  
5  2  2  2  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
5  2  2  2  2  
2  2  2  2  2  
5  2  2  2  2  
2  2  5  2  2  
2  2  5  5  2  
2  2  2  2  5  
2  5  5  2  2  
2  5  5  2  2  
2  2  2  2  5  
2  2  5  5  2  
2  5  5  2  2  
5  5  2  5  2  
2  5  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
5  2  2  5  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  5  
5  2  2  2  2  
2  5  2  2  2  
2  2  5  2  5  
5  2  2  2  2  
2  2  5  2  5  
5  2  2  2  2  
2  2  2  5  5  
2  2  2  2  2  
2  2  2  2  2  
5  2  5  2  5  
5  2  2  2  2  
2  2  2  5  2  
2  2  2  2  5  
2  2  2  2  2  
2  5  5  2  2  
5  5  2  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  2  5  5  5  
2  5  2  2  2  
2  5  2  5  5  
5  2  2  2  5  
2  2  2  2  2  
2  2  5  2  2  
2  2  5  2  2  
5  2  2  5  2  
2  5  2  2  2  
2  2  2  2  5  
2  2  2  2  5  
2  2  2  5  2  
2  2  2  2  2  
2  5  5  2  2  
2  2  2  2  5  
2  2  2  2  5  
5  5  5  2  5  
2  2  2  2  2  
5  5  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  2  5  2  2  
5  5  2  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  2  2  
5  2  5  5  5  
2  2  2  2  5  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  5  
5  2  2  2  2  
5  2  2  5  2  
2  2  2  2  2  
5  5  5  5  2  
2  2  5  5  5  
5  5  5  5  2  
5  2  5  5  5  
2  2  2  2  5  
2  2  2  2  2  
2  2  5  5  2  
5  5  2  2  2  
2  2  5  5  2  
2  2  5  2  2  
2  2  2  2  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
5  2  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  5  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  5  2  
5  5  5  2  2  
2  2  5  5  2  
5  5  2  2  5  
5  2  2  2  2  
2  2  2  5  5  
2  2  5  2  2  
5  5  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  5  5  2  2  
5  5  5  2  5  
2  2  5  2  5  
5  2  2  2  2  
2  2  2  2  2  
2  5  5  5  2  
2  2  2  2  2  
2  5  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
5  2  2  2  2  
2  2  2  2  5  
2  2  5  2  2  
2  2  2  2  5  
5  2  2  5  2  
2  2  2  2  2  
2  2  2  5  5  
2  2  5  2  2  
2  5  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  5  5  5  
5  5  2  2  2  
2  5  5  2  2  
5  2  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  5  2  2  
5  2  2  2  2  
2  2  5  2  2  
2  5  2  5  2  
2  2  2  2  2  
2  2  5  2  2  
5  2  2  5  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
5  5  2  2  2  
2  2  2  2  2  
2  5  5  2  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
5  2  2  2  2  
5  5  2  2  2  
2  5  5  2  5  
5  2  2  2  5  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  5  2  5  2  
2  2  2  2  2  
2  5  2  2  5  
5  2  2  2  5  
5  2  2  5  2  
2  2  2  5  2  
5  5  2  5  2  
2  2  2  2  2  
5  2  5  2  5  
2  5  5  2  2  
2  5  2  2  5  
2  2  2  5  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  5  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  2  2  2  
5  2  5  5  5  
5  5  5  5  2  
2  2  2  2  2  
5  5  5  5  2  
2  2  2  2  2  
2  2  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  5  2  
2  5  2  2  2  
2  2  5  2  5  
5  5  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
5  2  5  2  2  
2  2  2  2  2  
2  2  5  2  5  
2  2  5  5  5  
2  2  2  2  5  
2  2  2  2  2  
2  5  2  2  2  
5  2  2  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  5  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  5  5  
5  5  5  2  5  
5  2  5  2  2  
2  5  5  5  2  
2  2  5  2  2  
2  5  2  2  2  
5  2  2  2  2  
2  2  2  5  2  
2  2  2  2  2  
5  2  2  2  5  
2  2  2  2  5  
5  5  2  2  2  
5  2  2  2  5  
2  2  2  2  2  
2  2  2  2  5  
2  5  5  2  5  
2  2  2  2  5  
2  2  5  2  5  
2  5  5  5  2  
2  2  5  2  5  
2  2  2  5  5  
2  2  2  5  2  
5  5  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  5  
5  2  2  2  5  
2  5  5  5  5  
5  5  2  2  2  
2  5  2  2  2  
2  5  2  5  2  
5  2  5  2  2  
5  5  5  2  2  
5  2  2  2  2  
5  5  2  2  2  
2  2  5  2  5  
5  5  5  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  5  2  2  
5  5  2  2  2  
2  2  5  2  2  
2  2  2  2  2  
2  5  5  5  5  
5  5  2  2  2  
2  2  2  5  2  
5  5  2  5  3  
3  3  2  2  5  
2  2  2  2  2  
2  5  3  2  2  
2  2  5  2  2  
5  5  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  5  5  5  2  
2  2  5  2  5  
2  2  2  5  2  
2  2  2  2  5  
2  2  2  5  2  
2  5  2  2  2  
5  2  5  2  2  
5  2  5  5  2  
2  2  5  2  2  
2  2  2  5  5  
5  5  2  2  2  
5  5  2  2  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
5  5  5  5  2  
5  2  2  2  5  
5  2  2  2  5  
2  2  2  2  2  
5  5  5  5  2  
2  2  2  2  5  
5  2  5  2  5  
2  3  3  3  3  
3  3  3  3  3  
3  3  3  5  3  
3  3  2  3  3  
3  3  3  5  3  
3  3  3  3  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  2  5  
5  5  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  2  5  2  2  
2  5  5  2  5  
2  2  2  2  2  
2  5  5  5  2  
5  5  2  2  5  
5  2  2  2  2  
2  2  2  5  5  
2  2  2  2  2  
2  2  5  5  2  
5  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
2  2  2  5  5  
5  2  2  5  2  
2  2  5  2  2  
2  2  2  2  5  
5  2  2  3  5  
6  5  2  2  6  
5  3  3  2  5  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  2  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
2  2  2  2  2  
5  2  2  5  2  
2  2  5  5  2  
2  2  2  2  2  
2  2  2  2  2  
5  2  5  2  2  
5  2  2  2  2  
5  2  2  2  5  
2  2  5  2  5  
5  2  2  2  6  
6  5  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  5  2  5  2  
2  2  2  2  2  
2  2  2  2  5  
2  5  2  2  5  
2  2  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  5  2  2  
2  5  5  5  6  
6  6  6  3  3  
5  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  2  3  2  2  
2  2  5  2  2  
5  5  2  2  2  
5  2  5  5  2  
2  2  2  2  2  
2  2  5  2  2  
2  2  5  2  2  
2  2  5  5  2  
2  2  5  2  5  
2  2  5  2  6  
2  6  6  6  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  2  5  
2  5  5  5  5  
2  2  2  2  2  
5  2  2  2  5  
2  2  2  2  2  
2  2  2  2  2  
5  2  2  5  2  
2  2  2  6  6  
6  3  2  6  6  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  3  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  2  2  2  
2  2  2  6  5  
2  2  2  6  6  
6  5  2  2  2  
2  6  2  2  2  
5  2  2  2  2  
5  2  5  5  5  
5  2  2  2  5  
5  2  2  2  2  
6  6  6  6  6  
6  6  5  2  6  
5  6  3  2  2  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  5  2  
5  2  5  2  2  
2  2  2  2  2  
2  2  5  5  2  
2  2  2  2  2  
2  5  2  5  2  
2  5  2  2  2  
2  2  2  6  3  
3  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  6  6  6  
6  2  6  2  2  
2  6  6  6  6  
5  2  2  2  5  
5  5  5  5  2  
2  2  2  5  5  
2  2  2  2  2  
2  2  5  2  2  
2  2  2  5  2  
6  2  6  6  6  
6  6  6  6  2  
2  2  2  2  2  
2  2  2  2  2  
6  2  2  2  2  
5  5  2  5  5  
5  2  2  2  2  
2  2  2  2  2  
5  2  2  2  2  
2  2  2  2  5  
5  5  2  2  2  
2  2  6  2  6  
2  5  6  6  3  
3  6  6  6  6  
6  6  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  6  
6  6  6  6  2  
6  2  6  6  6  
6  6  6  6  6  
2  2  2  2  5  
5  2  2  2  2  
2  5  2  2  2  
2  2  2  5  5  
2  5  2  2  2  
5  5  6  6  2  
6  5  6  6  6  
6  2  5  2  2  
2  2  2  2  2  
2  6  2  6  6  
2  2  2  2  2  
2  6  6  6  2  
2  2  2  6  2  
6  6  6  5  5  
2  2  2  2  2  
2  2  2  2  2  
2  2  2  6  6  
6  6  6  6  6  
6  6  3  3  3  
6  6  6  6  6  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  5  5  2  
6  6  5  2  2  
2  2  2  5  2  
2  2  2  5  2  
2  2  2  2  5  
5  5  2  2  6  
6  6  6  6  6  
6  6  6  6  2  
5  5  2  2  2  
5  2  6  6  6  
6  6  6  6  6  
2  6  5  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  2  5  2  2  
2  2  2  2  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  3  3  6  6  
6  6  6  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  6  
6  3  3  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  2  6  
6  2  2  2  2  
2  2  2  2  2  
2  5  2  5  2  
2  2  5  2  5  
2  2  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  2  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  2  2  2  2  
2  5  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  3  
3  3  3  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  6  6  3  
3  3  6  6  3  
3  3  3  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  2  6  6  6  
2  2  2  5  2  
2  2  2  6  5  
5  5  2  2  2  
5  2  2  2  2  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  2  5  5  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
3  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  6  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
6  6  6  3  6  
6  6  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
2  5  2  2  2  
2  5  2  2  6  
6  5  5  5  5  
5  2  5  2  2  
2  2  2  6  6  
6  6  6  6  6  
6  6  6  6  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  3  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  6  6  
6  6  6  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  6  
3  3  3  6  6  
3  3  3  3  3  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  2  6  6  2  
6  6  6  6  6  
3  5  5  5  2  
2  2  2  2  5  
2  6  6  6  6  
6  6  6  6  6  
6  6  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  6  
6  3  6  3  3  
3  6  6  3  3  
3  3  3  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  3  3  3  
5  2  3  2  2  
2  2  5  2  6  
6  6  6  6  6  
6  6  6  6  6  
6  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  6  6  
6  6  6  6  6  
3  3  3  3  3  
3  3  3  3  3  
3  3  6  6  6  
6  3  3  3  6  
6  6  3  3  3  
3  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
3  3  3  3  3  
5  5  5  6  6  
5  2  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  6  6  3  
3  3  3  6  3  
3  3  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  3  3  3  
3  3  3  3  3  
5  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  6  6  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
6  6  3  3  3  
3  3  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
3  3  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  6  6  
6  3  3  3  3  
3  3  3  3  3  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  3  3  3  
3  3  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  6  
6  6  6  6  6  
6  6  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  6  6  6  
3  3  3  3  3  
3  3  3  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
6  6  6  6  6  
3  3  3  3  3  
3  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
3  3  3  3  3  
3  3  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  3  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
6  6  6  6  6  
6  6  6  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  3  6  6  
6  6  6  3  3  
3  3  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  3  3  
3  3  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
3  3  3  3  3  
3  3  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  3  
3  3  3  3  3  
3  3  3  3  3  
3  3  3  3  6  
6  6  6  6  6  
6  3  3  3  3  
3  3  3  3  3  
3  3  3  3  3  
3  6  6  6  6  
6  3  3  3  3  
3  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
3  3  3  3  3  
3  3  3  3  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  3  3  3  
3  3  3  3  3  
3  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
6  6  6  6  6  
